,image_name,x_1,y_1,x_2,y_2,category,category_type,category_type_name,width,height,area,evaluation_status,category_encoding
170844,img/Frayed_Denim_Gauchos/img_00000027.jpg,53,1,139,239,Gauchos,2,Lower Body,86,238,20468,train,2
170847,img/Frayed_Denim_Gauchos/img_00000030.jpg,1,182,196,300,Gauchos,2,Lower Body,195,118,23010,train,2
170848,img/Frayed_Denim_Gauchos/img_00000031.jpg,47,105,102,263,Gauchos,2,Lower Body,55,158,8690,train,2
170849,img/Frayed_Denim_Gauchos/img_00000032.jpg,80,1,217,212,Gauchos,2,Lower Body,137,211,28907,train,2
170854,img/Frayed_Denim_Gauchos/img_00000037.jpg,57,82,122,253,Gauchos,2,Lower Body,65,171,11115,train,2
170855,img/Frayed_Denim_Gauchos/img_00000038.jpg,147,76,219,174,Gauchos,2,Lower Body,72,98,7056,train,2
170856,img/Frayed_Denim_Gauchos/img_00000039.jpg,1,60,299,300,Gauchos,2,Lower Body,298,240,71520,train,2
170858,img/Frayed_Denim_Gauchos/img_00000041.jpg,7,41,195,174,Gauchos,2,Lower Body,188,133,25004,train,2
170859,img/Frayed_Denim_Gauchos/img_00000042.jpg,141,85,215,203,Gauchos,2,Lower Body,74,118,8732,train,2
170861,img/Frayed_Denim_Gauchos/img_00000044.jpg,78,1,194,83,Gauchos,2,Lower Body,116,82,9512,train,2
170862,img/Frayed_Denim_Gauchos/img_00000045.jpg,43,75,93,171,Gauchos,2,Lower Body,50,96,4800,train,2
170863,img/Frayed_Denim_Gauchos/img_00000046.jpg,27,1,148,185,Gauchos,2,Lower Body,121,184,22264,train,2
170865,img/Frayed_Denim_Gauchos/img_00000048.jpg,104,120,174,276,Gauchos,2,Lower Body,70,156,10920,train,2
173203,img/Topstitched_Jodhpurs/img_00000001.jpg,63,117,149,251,Jodhpurs,2,Lower Body,86,134,11524,train,3
173206,img/Topstitched_Jodhpurs/img_00000004.jpg,81,89,143,272,Jodhpurs,2,Lower Body,62,183,11346,train,3
173207,img/Topstitched_Jodhpurs/img_00000005.jpg,1,127,200,300,Jodhpurs,2,Lower Body,199,173,34427,train,3
173208,img/Topstitched_Jodhpurs/img_00000006.jpg,1,185,205,300,Jodhpurs,2,Lower Body,204,115,23460,train,3
173210,img/Topstitched_Jodhpurs/img_00000008.jpg,42,115,134,261,Jodhpurs,2,Lower Body,92,146,13432,train,3
173211,img/Topstitched_Jodhpurs/img_00000009.jpg,87,97,110,290,Jodhpurs,2,Lower Body,23,193,4439,train,3
173214,img/Topstitched_Jodhpurs/img_00000012.jpg,56,103,136,266,Jodhpurs,2,Lower Body,80,163,13040,train,3
173215,img/Topstitched_Jodhpurs/img_00000013.jpg,4,91,112,270,Jodhpurs,2,Lower Body,108,179,19332,train,3
173216,img/Topstitched_Jodhpurs/img_00000014.jpg,57,101,160,270,Jodhpurs,2,Lower Body,103,169,17407,train,3
173218,img/Topstitched_Jodhpurs/img_00000016.jpg,87,117,145,277,Jodhpurs,2,Lower Body,58,160,9280,train,3
173220,img/Topstitched_Jodhpurs/img_00000018.jpg,149,99,207,273,Jodhpurs,2,Lower Body,58,174,10092,train,3
173222,img/Topstitched_Jodhpurs/img_00000020.jpg,50,19,150,278,Jodhpurs,2,Lower Body,100,259,25900,train,3
173224,img/Topstitched_Jodhpurs/img_00000022.jpg,49,112,137,279,Jodhpurs,2,Lower Body,88,167,14696,train,3
173225,img/Topstitched_Jodhpurs/img_00000023.jpg,1,18,200,277,Jodhpurs,2,Lower Body,199,259,51541,train,3
173226,img/Topstitched_Jodhpurs/img_00000024.jpg,133,121,170,281,Jodhpurs,2,Lower Body,37,160,5920,train,3
173227,img/Topstitched_Jodhpurs/img_00000025.jpg,42,88,136,300,Jodhpurs,2,Lower Body,94,212,19928,train,3
173228,img/Topstitched_Jodhpurs/img_00000026.jpg,48,121,139,293,Jodhpurs,2,Lower Body,91,172,15652,train,3
173229,img/Topstitched_Jodhpurs/img_00000027.jpg,119,111,177,278,Jodhpurs,2,Lower Body,58,167,9686,train,3
173230,img/Topstitched_Jodhpurs/img_00000028.jpg,1,187,204,300,Jodhpurs,2,Lower Body,203,113,22939,train,3
173231,img/Topstitched_Jodhpurs/img_00000029.jpg,60,87,118,151,Jodhpurs,2,Lower Body,58,64,3712,train,3
173232,img/Topstitched_Jodhpurs/img_00000030.jpg,1,121,106,170,Jodhpurs,2,Lower Body,105,49,5145,train,3
173233,img/Topstitched_Jodhpurs/img_00000031.jpg,66,106,143,259,Jodhpurs,2,Lower Body,77,153,11781,train,3
173234,img/Topstitched_Jodhpurs/img_00000032.jpg,110,123,158,285,Jodhpurs,2,Lower Body,48,162,7776,train,3
173235,img/Topstitched_Jodhpurs/img_00000033.jpg,1,141,200,300,Jodhpurs,2,Lower Body,199,159,31641,train,3
173236,img/Topstitched_Jodhpurs/img_00000034.jpg,57,1,142,269,Jodhpurs,2,Lower Body,85,268,22780,train,3
173237,img/Topstitched_Jodhpurs/img_00000035.jpg,50,1,158,280,Jodhpurs,2,Lower Body,108,279,30132,train,3
173239,img/Topstitched_Jodhpurs/img_00000037.jpg,87,106,101,279,Jodhpurs,2,Lower Body,14,173,2422,train,3
173240,img/Topstitched_Jodhpurs/img_00000038.jpg,1,202,200,300,Jodhpurs,2,Lower Body,199,98,19502,train,3
188216,img/Topstitched_Jodhpurs/img_00000039.jpg,245,1,300,143,Jodhpurs,2,Lower Body,55,142,7810,train,3
188219,img/Topstitched_Jodhpurs/img_00000042.jpg,77,85,125,227,Jodhpurs,2,Lower Body,48,142,6816,train,3
188220,img/Topstitched_Jodhpurs/img_00000043.jpg,79,101,135,272,Jodhpurs,2,Lower Body,56,171,9576,train,3
188222,img/Topstitched_Jodhpurs/img_00000045.jpg,72,101,128,273,Jodhpurs,2,Lower Body,56,172,9632,train,3
188638,img/Drawstring_Cargo_Capris/img_00000001.jpg,78,1,229,291,Capris,2,Lower Body,151,290,43790,train,1
188639,img/Drawstring_Cargo_Capris/img_00000002.jpg,30,17,157,258,Capris,2,Lower Body,127,241,30607,train,1
188640,img/Drawstring_Cargo_Capris/img_00000003.jpg,24,1,202,300,Capris,2,Lower Body,178,299,53222,train,1
188641,img/Drawstring_Cargo_Capris/img_00000004.jpg,87,1,217,300,Capris,2,Lower Body,130,299,38870,train,1
188642,img/Drawstring_Cargo_Capris/img_00000005.jpg,66,1,230,214,Capris,2,Lower Body,164,213,34932,train,1
188644,img/Drawstring_Cargo_Capris/img_00000007.jpg,17,1,99,253,Capris,2,Lower Body,82,252,20664,train,1
188645,img/Drawstring_Cargo_Capris/img_00000008.jpg,38,1,202,227,Capris,2,Lower Body,164,226,37064,train,1
188646,img/Drawstring_Cargo_Capris/img_00000009.jpg,62,1,183,280,Capris,2,Lower Body,121,279,33759,train,1
188647,img/Drawstring_Cargo_Capris/img_00000010.jpg,46,1,177,229,Capris,2,Lower Body,131,228,29868,train,1
188649,img/Drawstring_Cargo_Capris/img_00000012.jpg,42,1,203,267,Capris,2,Lower Body,161,266,42826,train,1
188650,img/Drawstring_Cargo_Capris/img_00000013.jpg,55,1,169,279,Capris,2,Lower Body,114,278,31692,train,1
188651,img/Drawstring_Cargo_Capris/img_00000014.jpg,1,5,103,209,Capris,2,Lower Body,102,204,20808,train,1
188652,img/Drawstring_Cargo_Capris/img_00000015.jpg,75,1,218,288,Capris,2,Lower Body,143,287,41041,train,1
188653,img/Drawstring_Cargo_Capris/img_00000016.jpg,42,1,202,277,Capris,2,Lower Body,160,276,44160,train,1
188660,img/Drawstring_Cargo_Capris/img_00000023.jpg,62,1,241,300,Capris,2,Lower Body,179,299,53521,train,1
188661,img/Drawstring_Cargo_Capris/img_00000024.jpg,49,1,251,274,Capris,2,Lower Body,202,273,55146,train,1
188663,img/Drawstring_Cargo_Capris/img_00000026.jpg,30,1,211,293,Capris,2,Lower Body,181,292,52852,train,1
188664,img/Drawstring_Cargo_Capris/img_00000027.jpg,56,10,201,294,Capris,2,Lower Body,145,284,41180,train,1
188667,img/Drawstring_Cargo_Capris/img_00000030.jpg,71,1,174,240,Capris,2,Lower Body,103,239,24617,train,1
188668,img/Drawstring_Cargo_Capris/img_00000031.jpg,88,32,220,271,Capris,2,Lower Body,132,239,31548,train,1
188669,img/Drawstring_Cargo_Capris/img_00000032.jpg,59,1,233,276,Capris,2,Lower Body,174,275,47850,train,1
188670,img/Drawstring_Cargo_Capris/img_00000033.jpg,1,1,212,300,Capris,2,Lower Body,211,299,63089,train,1
188671,img/Drawstring_Cargo_Capris/img_00000034.jpg,32,1,206,296,Capris,2,Lower Body,174,295,51330,train,1
188672,img/Drawstring_Cargo_Capris/img_00000035.jpg,17,1,298,300,Capris,2,Lower Body,281,299,84019,train,1
188673,img/Drawstring_Cargo_Capris/img_00000036.jpg,1,1,190,300,Capris,2,Lower Body,189,299,56511,train,1
188674,img/Drawstring_Cargo_Capris/img_00000037.jpg,1,1,233,300,Capris,2,Lower Body,232,299,69368,train,1
188675,img/Drawstring_Cargo_Capris/img_00000038.jpg,1,1,300,300,Capris,2,Lower Body,299,299,89401,train,1
188676,img/Drawstring_Cargo_Capris/img_00000039.jpg,83,1,228,300,Capris,2,Lower Body,145,299,43355,train,1
188677,img/Drawstring_Cargo_Capris/img_00000040.jpg,1,1,130,208,Capris,2,Lower Body,129,207,26703,train,1
188679,img/Drawstring_Cargo_Capris/img_00000042.jpg,1,1,201,300,Capris,2,Lower Body,200,299,59800,train,1
188681,img/Drawstring_Cargo_Capris/img_00000044.jpg,1,1,236,256,Capris,2,Lower Body,235,255,59925,train,1
188682,img/Drawstring_Cargo_Capris/img_00000045.jpg,57,1,256,300,Capris,2,Lower Body,199,299,59501,train,1
188683,img/Drawstring_Cargo_Capris/img_00000046.jpg,25,8,200,289,Capris,2,Lower Body,175,281,49175,train,1
188685,img/Drawstring_Cargo_Capris/img_00000048.jpg,1,1,148,300,Capris,2,Lower Body,147,299,43953,train,1
188686,img/Drawstring_Cargo_Capris/img_00000049.jpg,3,1,127,293,Capris,2,Lower Body,124,292,36208,train,1
188687,img/Drawstring_Cargo_Capris/img_00000050.jpg,55,1,114,260,Capris,2,Lower Body,59,259,15281,train,1
188688,img/Drawstring_Cargo_Capris/img_00000051.jpg,102,11,208,217,Capris,2,Lower Body,106,206,21836,train,1
188689,img/Drawstring_Cargo_Capris/img_00000052.jpg,70,1,176,287,Capris,2,Lower Body,106,286,30316,train,1
188692,img/Drawstring_Cargo_Capris/img_00000055.jpg,87,1,225,287,Capris,2,Lower Body,138,286,39468,train,1
188694,img/Drawstring_Cargo_Capris/img_00000057.jpg,46,1,184,238,Capris,2,Lower Body,138,237,32706,train,1
188695,img/Drawstring_Cargo_Capris/img_00000058.jpg,1,1,112,206,Capris,2,Lower Body,111,205,22755,train,1
188696,img/Drawstring_Cargo_Capris/img_00000059.jpg,1,29,165,300,Capris,2,Lower Body,164,271,44444,train,1
188697,img/Drawstring_Cargo_Capris/img_00000060.jpg,20,1,176,205,Capris,2,Lower Body,156,204,31824,train,1
188698,img/Drawstring_Cargo_Capris/img_00000061.jpg,1,1,225,291,Capris,2,Lower Body,224,290,64960,train,1
188699,img/Drawstring_Cargo_Capris/img_00000062.jpg,9,1,175,300,Capris,2,Lower Body,166,299,49634,train,1
188701,img/Drawstring_Cargo_Capris/img_00000064.jpg,3,6,157,293,Capris,2,Lower Body,154,287,44198,train,1
188702,img/Drawstring_Cargo_Capris/img_00000065.jpg,46,1,188,233,Capris,2,Lower Body,142,232,32944,train,1
188703,img/Drawstring_Cargo_Capris/img_00000066.jpg,1,1,169,225,Capris,2,Lower Body,168,224,37632,train,1
188704,img/Drawstring_Cargo_Capris/img_00000067.jpg,67,1,234,300,Capris,2,Lower Body,167,299,49933,train,1
188705,img/Drawstring_Cargo_Capris/img_00000068.jpg,44,1,190,156,Capris,2,Lower Body,146,155,22630,train,1
188706,img/Drawstring_Cargo_Capris/img_00000069.jpg,121,114,188,246,Capris,2,Lower Body,67,132,8844,train,1
188708,img/Drawstring_Cargo_Capris/img_00000071.jpg,30,1,164,218,Capris,2,Lower Body,134,217,29078,train,1
188709,img/Drawstring_Cargo_Capris/img_00000072.jpg,1,1,300,300,Capris,2,Lower Body,299,299,89401,train,1
188710,img/Drawstring_Cargo_Capris/img_00000073.jpg,84,1,182,277,Capris,2,Lower Body,98,276,27048,train,1
188711,img/Drawstring_Cargo_Capris/img_00000074.jpg,23,1,245,231,Capris,2,Lower Body,222,230,51060,train,1
188712,img/Drawstring_Cargo_Capris/img_00000075.jpg,73,23,183,299,Capris,2,Lower Body,110,276,30360,train,1
188713,img/Drawstring_Cargo_Capris/img_00000076.jpg,31,1,300,300,Capris,2,Lower Body,269,299,80431,train,1
243893,img/Tile_Print_Drawstring_Caftan/img_00000001.jpg,1,1,300,300,Caftan,3,Full Body,299,299,89401,train,0
243894,img/Tile_Print_Drawstring_Caftan/img_00000002.jpg,258,188,300,295,Caftan,3,Full Body,42,107,4494,train,0
243895,img/Tile_Print_Drawstring_Caftan/img_00000003.jpg,15,1,233,297,Caftan,3,Full Body,218,296,64528,train,0
243896,img/Tile_Print_Drawstring_Caftan/img_00000004.jpg,57,1,194,263,Caftan,3,Full Body,137,262,35894,train,0
243897,img/Tile_Print_Drawstring_Caftan/img_00000005.jpg,34,48,179,286,Caftan,3,Full Body,145,238,34510,train,0
243898,img/Tile_Print_Drawstring_Caftan/img_00000006.jpg,5,1,300,300,Caftan,3,Full Body,295,299,88205,train,0
243899,img/Tile_Print_Drawstring_Caftan/img_00000007.jpg,1,7,189,290,Caftan,3,Full Body,188,283,53204,train,0
243900,img/Tile_Print_Drawstring_Caftan/img_00000008.jpg,27,1,279,300,Caftan,3,Full Body,252,299,75348,train,0
243903,img/Tile_Print_Drawstring_Caftan/img_00000011.jpg,107,36,203,253,Caftan,3,Full Body,96,217,20832,train,0
243904,img/Tile_Print_Drawstring_Caftan/img_00000012.jpg,25,1,289,300,Caftan,3,Full Body,264,299,78936,train,0
243905,img/Tile_Print_Drawstring_Caftan/img_00000013.jpg,42,32,150,296,Caftan,3,Full Body,108,264,28512,train,0
243908,img/Tile_Print_Drawstring_Caftan/img_00000016.jpg,46,51,218,300,Caftan,3,Full Body,172,249,42828,train,0
243910,img/Tile_Print_Drawstring_Caftan/img_00000018.jpg,85,37,221,190,Caftan,3,Full Body,136,153,20808,train,0
243912,img/Tile_Print_Drawstring_Caftan/img_00000020.jpg,54,21,205,300,Caftan,3,Full Body,151,279,42129,train,0
243913,img/Tile_Print_Drawstring_Caftan/img_00000021.jpg,93,36,166,187,Caftan,3,Full Body,73,151,11023,train,0
243914,img/Tile_Print_Drawstring_Caftan/img_00000022.jpg,52,32,170,278,Caftan,3,Full Body,118,246,29028,train,0
243915,img/Tile_Print_Drawstring_Caftan/img_00000023.jpg,20,3,148,210,Caftan,3,Full Body,128,207,26496,train,0
243916,img/Tile_Print_Drawstring_Caftan/img_00000024.jpg,53,39,226,244,Caftan,3,Full Body,173,205,35465,train,0
243922,img/Tile_Print_Drawstring_Caftan/img_00000030.jpg,79,24,231,300,Caftan,3,Full Body,152,276,41952,train,0
243923,img/Tile_Print_Drawstring_Caftan/img_00000031.jpg,63,36,202,267,Caftan,3,Full Body,139,231,32109,train,0
243924,img/Tile_Print_Drawstring_Caftan/img_00000032.jpg,41,1,265,300,Caftan,3,Full Body,224,299,66976,train,0
243925,img/Tile_Print_Drawstring_Caftan/img_00000033.jpg,43,38,164,234,Caftan,3,Full Body,121,196,23716,train,0
243927,img/Tile_Print_Drawstring_Caftan/img_00000035.jpg,1,39,106,204,Caftan,3,Full Body,105,165,17325,train,0
243928,img/Tile_Print_Drawstring_Caftan/img_00000036.jpg,8,46,259,300,Caftan,3,Full Body,251,254,63754,train,0
243929,img/Tile_Print_Drawstring_Caftan/img_00000037.jpg,81,36,220,300,Caftan,3,Full Body,139,264,36696,train,0
243930,img/Tile_Print_Drawstring_Caftan/img_00000038.jpg,58,28,146,163,Caftan,3,Full Body,88,135,11880,train,0
243931,img/Tile_Print_Drawstring_Caftan/img_00000039.jpg,1,36,300,300,Caftan,3,Full Body,299,264,78936,train,0
243932,img/Tile_Print_Drawstring_Caftan/img_00000040.jpg,47,32,250,272,Caftan,3,Full Body,203,240,48720,train,0
243933,img/Tile_Print_Drawstring_Caftan/img_00000041.jpg,115,25,187,300,Caftan,3,Full Body,72,275,19800,train,0
243935,img/Tile_Print_Drawstring_Caftan/img_00000043.jpg,70,53,221,300,Caftan,3,Full Body,151,247,37297,train,0
243936,img/Tile_Print_Drawstring_Caftan/img_00000044.jpg,1,18,300,300,Caftan,3,Full Body,299,282,84318,train,0
243938,img/Tile_Print_Drawstring_Caftan/img_00000046.jpg,59,32,244,197,Caftan,3,Full Body,185,165,30525,train,0
243939,img/Tile_Print_Drawstring_Caftan/img_00000047.jpg,61,60,243,294,Caftan,3,Full Body,182,234,42588,train,0
243940,img/Tile_Print_Drawstring_Caftan/img_00000048.jpg,1,5,300,300,Caftan,3,Full Body,299,295,88205,train,0
243942,img/Tile_Print_Drawstring_Caftan/img_00000050.jpg,77,19,213,300,Caftan,3,Full Body,136,281,38216,train,0
243943,img/Tile_Print_Drawstring_Caftan/img_00000051.jpg,1,1,300,300,Caftan,3,Full Body,299,299,89401,train,0
243944,img/Tile_Print_Drawstring_Caftan/img_00000052.jpg,12,56,186,300,Caftan,3,Full Body,174,244,42456,train,0
243945,img/Tile_Print_Drawstring_Caftan/img_00000053.jpg,85,29,207,292,Caftan,3,Full Body,122,263,32086,train,0
271542,img/Panda-Hood_Pajama_Onesie/img_00000001.jpg,25,34,127,300,Onesie,3,Full Body,102,266,27132,train,4
271543,img/Panda-Hood_Pajama_Onesie/img_00000002.jpg,69,60,211,261,Onesie,3,Full Body,142,201,28542,train,4
271544,img/Panda-Hood_Pajama_Onesie/img_00000003.jpg,69,95,215,242,Onesie,3,Full Body,146,147,21462,train,4
271545,img/Panda-Hood_Pajama_Onesie/img_00000004.jpg,54,30,133,300,Onesie,3,Full Body,79,270,21330,train,4
271550,img/Panda-Hood_Pajama_Onesie/img_00000009.jpg,62,41,186,296,Onesie,3,Full Body,124,255,31620,train,4
271552,img/Panda-Hood_Pajama_Onesie/img_00000011.jpg,64,32,160,295,Onesie,3,Full Body,96,263,25248,train,4
271555,img/Panda-Hood_Pajama_Onesie/img_00000014.jpg,124,47,280,280,Onesie,3,Full Body,156,233,36348,train,4
271556,img/Panda-Hood_Pajama_Onesie/img_00000015.jpg,62,1,190,289,Onesie,3,Full Body,128,288,36864,train,4
271557,img/Panda-Hood_Pajama_Onesie/img_00000016.jpg,1,20,300,300,Onesie,3,Full Body,299,280,83720,train,4
271559,img/Panda-Hood_Pajama_Onesie/img_00000018.jpg,43,56,139,284,Onesie,3,Full Body,96,228,21888,train,4
271560,img/Panda-Hood_Pajama_Onesie/img_00000019.jpg,56,58,162,300,Onesie,3,Full Body,106,242,25652,train,4
271561,img/Panda-Hood_Pajama_Onesie/img_00000020.jpg,154,44,260,300,Onesie,3,Full Body,106,256,27136,train,4
271563,img/Panda-Hood_Pajama_Onesie/img_00000022.jpg,1,21,300,300,Onesie,3,Full Body,299,279,83421,train,4
271565,img/Panda-Hood_Pajama_Onesie/img_00000024.jpg,1,99,300,288,Onesie,3,Full Body,299,189,56511,train,4
271566,img/Panda-Hood_Pajama_Onesie/img_00000025.jpg,20,13,187,234,Onesie,3,Full Body,167,221,36907,train,4
271567,img/Panda-Hood_Pajama_Onesie/img_00000026.jpg,52,31,160,286,Onesie,3,Full Body,108,255,27540,train,4
271568,img/Panda-Hood_Pajama_Onesie/img_00000027.jpg,106,57,209,300,Onesie,3,Full Body,103,243,25029,train,4
271569,img/Panda-Hood_Pajama_Onesie/img_00000028.jpg,150,60,295,246,Onesie,3,Full Body,145,186,26970,train,4
271570,img/Panda-Hood_Pajama_Onesie/img_00000029.jpg,137,40,288,299,Onesie,3,Full Body,151,259,39109,train,4
271571,img/Panda-Hood_Pajama_Onesie/img_00000030.jpg,41,18,166,300,Onesie,3,Full Body,125,282,35250,train,4
271572,img/Panda-Hood_Pajama_Onesie/img_00000031.jpg,1,98,204,300,Onesie,3,Full Body,203,202,41006,train,4
271574,img/Panda-Hood_Pajama_Onesie/img_00000033.jpg,42,31,144,284,Onesie,3,Full Body,102,253,25806,train,4
271576,img/Panda-Hood_Pajama_Onesie/img_00000035.jpg,1,88,300,300,Onesie,3,Full Body,299,212,63388,train,4
271577,img/Panda-Hood_Pajama_Onesie/img_00000036.jpg,44,44,181,289,Onesie,3,Full Body,137,245,33565,train,4
271578,img/Panda-Hood_Pajama_Onesie/img_00000037.jpg,28,25,106,217,Onesie,3,Full Body,78,192,14976,train,4
271579,img/Panda-Hood_Pajama_Onesie/img_00000038.jpg,35,52,180,281,Onesie,3,Full Body,145,229,33205,train,4
271580,img/Panda-Hood_Pajama_Onesie/img_00000039.jpg,25,33,212,289,Onesie,3,Full Body,187,256,47872,train,4
271581,img/Panda-Hood_Pajama_Onesie/img_00000040.jpg,1,1,155,300,Onesie,3,Full Body,154,299,46046,train,4
271582,img/Panda-Hood_Pajama_Onesie/img_00000041.jpg,1,48,300,300,Onesie,3,Full Body,299,252,75348,train,4
271583,img/Panda-Hood_Pajama_Onesie/img_00000042.jpg,92,13,217,299,Onesie,3,Full Body,125,286,35750,train,4
271584,img/Panda-Hood_Pajama_Onesie/img_00000043.jpg,101,18,253,300,Onesie,3,Full Body,152,282,42864,train,4
271585,img/Panda-Hood_Pajama_Onesie/img_00000044.jpg,31,16,149,281,Onesie,3,Full Body,118,265,31270,train,4
271590,img/Panda-Hood_Pajama_Onesie/img_00000049.jpg,51,101,164,266,Onesie,3,Full Body,113,165,18645,train,4
271591,img/Panda-Hood_Pajama_Onesie/img_00000050.jpg,41,31,156,300,Onesie,3,Full Body,115,269,30935,train,4
271593,img/Panda-Hood_Pajama_Onesie/img_00000052.jpg,1,32,147,288,Onesie,3,Full Body,146,256,37376,train,4
271594,img/Panda-Hood_Pajama_Onesie/img_00000053.jpg,138,45,259,300,Onesie,3,Full Body,121,255,30855,train,4
271595,img/Panda-Hood_Pajama_Onesie/img_00000054.jpg,11,30,124,283,Onesie,3,Full Body,113,253,28589,train,4
271596,img/Panda-Hood_Pajama_Onesie/img_00000055.jpg,3,44,141,272,Onesie,3,Full Body,138,228,31464,train,4
271597,img/Panda-Hood_Pajama_Onesie/img_00000056.jpg,33,25,185,300,Onesie,3,Full Body,152,275,41800,train,4
271598,img/Panda-Hood_Pajama_Onesie/img_00000057.jpg,50,35,151,298,Onesie,3,Full Body,101,263,26563,train,4
271599,img/Panda-Hood_Pajama_Onesie/img_00000058.jpg,29,20,139,300,Onesie,3,Full Body,110,280,30800,train,4
271600,img/Panda-Hood_Pajama_Onesie/img_00000059.jpg,121,145,210,296,Onesie,3,Full Body,89,151,13439,train,4
271601,img/Panda-Hood_Pajama_Onesie/img_00000060.jpg,105,9,220,291,Onesie,3,Full Body,115,282,32430,train,4
271602,img/Panda-Hood_Pajama_Onesie/img_00000061.jpg,160,122,216,196,Onesie,3,Full Body,56,74,4144,train,4
271603,img/Panda-Hood_Pajama_Onesie/img_00000062.jpg,1,60,300,299,Onesie,3,Full Body,299,239,71461,train,4
271605,img/Panda-Hood_Pajama_Onesie/img_00000064.jpg,25,50,176,285,Onesie,3,Full Body,151,235,35485,train,4
271610,img/Panda-Hood_Pajama_Onesie/img_00000069.jpg,42,5,188,288,Onesie,3,Full Body,146,283,41318,train,4
